235.69,14560,-880,1200,-1118,-219,-219
235.86,17460,1356,3032,2751,-413,-413
235.69,18496,-692,2200,1104,245,245
235.94,14740,-1408,1716,-1508,-889,-889
236.20,20384,0,-488,109,-1744,-1744
235.60,14936,-580,552,845,-271,-271
235.77,17432,1024,2224,1150,440,440
235.86,18848,-696,-2020,4576,917,917
236.03,15300,-1124,-572,1968,735,735
235.77,19756,-620,1296,-2807,191,191
235.94,14488,-1092,-616,-1608,-510,-510
236.37,16492,1252,200,1199,-361,-361
236.62,18756,-632,1400,-1869,-705,-705
236.45,15000,-2164,652,-3825,2903,2903
237.39,20008,-152,940,-872,919,919
236.28,16336,-1200,1452,365,-1656,-1656
236.37,16396,-440,2676,-4216,-3125,-3125
236.96,20052,700,-548,1908,-13,-13
237.05,14908,-88,-100,-824,-1386,-1386
237.39,19352,-2408,-24,-3802,490,490
237.56,18308,-244,-852,-3855,-455,-455
240.03,14996,24,304,-3925,-851,-851
241.65,19276,-3296,680,4634,-279,-279
241.14,15500,-1576,-936,-369,-320,-320
238.07,17324,-1188,800,2186,2320,2320
237.22,18516,-1120,632,889,-868,-868
236.62,15756,-656,56,-1176,104,104
235.69,19668,-964,1772,2400,-1389,-1389
236.45,15616,-368,868,4942,493,493
236.45,18452,-1104,1848,444,-417,-417
236.03,18932,-1024,604,2467,-349,-349
235.86,16264,-288,-2192,130,-866,-866
235.86,18960,-940,-744,4172,-316,-316
235.77,15936,156,-336,-1634,522,522
236.11,19772,3084,-1564,5273,-1279,-1279
235.77,15872,1288,-1256,6312,296,296
235.77,15308,772,336,3102,301,301
235.35,18836,0,-48,4260,-965,-965
235.77,16856,120,-1176,4814,-308,-308
235.35,20304,-1308,-2336,31,-2801,-2801
235.52,16580,-440,-1328,3223,1010,1010
236.03,18528,1184,-1688,3034,617,617
235.69,17316,784,-1000,2659,-1556,-1556
235.94,15396,-48,2396,974,1501,1501
235.94,17244,736,-560,4256,3681,3681
236.54,15432,500,2340,4892,-936,-936
235.94,15280,84,-1444,2540,-1815,-1815
235.77,17468,1960,2372,-2548,2667,2667
236.11,15496,520,3156,-5291,-2506,-2506
236.37,15840,2404,3996,-387,-1405,-1405
235.52,16080,1900,1084,891,-447,-447
235.77,17440,2280,1680,-2752,-1366,-1366
236.11,16488,608,1508,-5780,-1888,-1888
235.52,17860,456,2096,-1635,-757,-757
235.26,16684,-204,1948,-10986,802,802
235.69,17932,-1944,2396,-13081,1619,1619
236.54,16508,636,1420,-9486,-1184,-1184
235.86,16912,-112,-320,-6068,306,306
236.20,18380,204,-636,-4235,-656,-656
235.77,16520,356,924,-4153,-2439,-2439
235.94,17820,-1568,152,-1104,1442,1442
236.62,15428,616,268,-712,-1062,-1062
236.20,16804,-292,-1288,-3205,-1419,-1419
236.03,18860,392,-660,-5858,823,823
235.94,17352,-808,-2576,-6420,-118,-118
235.86,18176,-2068,-1584,-6551,1589,1589
236.11,17760,-1780,-384,-896,-55,-55
236.03,17332,-444,820,-1996,-1047,-1047
236.03,17296,-388,-596,1530,525,525
236.03,17744,-1168,-124,-205,-52,-52
236.03,17904,-1264,-1480,-3259,-469,-469
235.77,16852,-1736,-500,-3117,1078,1078
236.37,17600,-1848,148,-5045,211,211
236.37,18920,368,-312,3208,-2009,-2009
236.54,16940,1916,-772,7350,-1052,-1052
236.03,17492,-492,588,4207,-69,-69
236.37,16692,-948,868,1298,-116,-116
236.45,17132,-1332,-1260,2444,-1193,-1193
236.37,17352,40,436,5015,-1334,-1334
236.20,16996,-548,-732,7783,2132,2132
236.54,18284,-676,-112,6784,-472,-472
236.79,16704,-476,160,6435,-1890,-1890
236.37,17056,-1204,-212,6435,479,479
236.03,17376,124,636,5419,-1669,-1669
236.28,16856,1288,1212,6533,993,993
236.54,17912,2276,-2316,22700,46,46
236.28,17076,1216,-632,4961,-754,-754
236.45,16824,408,-1740,4170,3211,3211
236.54,18500,592,388,2911,-910,-910
236.28,15128,-16,-1392,2473,-198,-198
236.37,17780,492,-848,-519,768,768
